sector,sex,name,total
Muslim,M,נוח,424
Christian,M,גסאן,312
Other,M,רוני,199
Muslim,F,פאטן,159
Jewish,M,כדורי,229
Muslim,F,מנאל,3690
Jewish,M,פרץ,449
Jewish,F,ליהיא,3151
Jewish,F,גוני,789
Muslim,F,מייסאא,163
Muslim,F,וורוד,399
Other,M,ולדיסלב,153
Jewish,M,ישכר,499
Muslim,M,שוכרי,275
Other,M,בנימין,288
Jewish,F,ספיר,10243
Muslim,M,נסים,1878
Jewish,F,אדר,1840
Muslim,M,מוהנד,2605
Jewish,M,יחזקאל,5940
Muslim,F,אמאן,259
Muslim,F,אילול,525
Muslim,F,רודה,102
Jewish,F,גוליה,110
Other,F,ניקה,231
Christian,F,הנא,168
Jewish,M,אוריאל,7494
Druze,M,עאטף,120
Muslim,M,באסם,3000
Christian,F,לינדה,142
Jewish,F,אודיה,2016
Jewish,M,יהונתן,26969
Jewish,F,גליה,3415
Druze,F,מונירה,190
Muslim,F,מיסלון,116
Jewish,M,רז,5642
Muslim,F,רוחיה,101
Jewish,M,ענבר,940
Jewish,M,מייקל,558
Muslim,M,ימאן,436
Jewish,M,עקיבה,101
Jewish,F,סיניה,133
Muslim,F,עביר,4341
Druze,M,תאמר,373
Muslim,M,איסמאיל,2756
Muslim,F,ח'יריה,303
Jewish,F,סגלית,2245
Jewish,M,אהרון,22073
Jewish,M,פאר,612
Jewish,F,דריה,2042
Muslim,M,עוביידה,1723
Jewish,M,עילאי,8967
Druze,M,אמל,394
Muslim,M,קנאן,292
Muslim,F,תגריד,1223
Jewish,F,ליאל,8810
Muslim,F,תוליב,106
Muslim,F,תסנים,2559
Jewish,F,אורנה,5815
Druze,F,אלין,423
Jewish,F,בהירה,109
Jewish,F,לשם,226
Jewish,F,מאור,1482
Druze,F,מילא,212
Other,M,עידן,423
Christian,M,לורנס,103
Christian,F,קרולין,129
Jewish,F,בתיה,7638
Jewish,F,ארבל,2986
Muslim,M,האשם,992
Jewish,F,שריי,303
Jewish,F,רז,2035
Muslim,M,אוסאמה,3004
Jewish,M,עקיבא,2412
Muslim,F,ספייה,199
Jewish,M,יריב,2011
Other,M,אלכסיי,103
Jewish,M,שקד,4356
Jewish,F,שחף,1518
Jewish,F,שירין,242
Muslim,F,ביסאן,2890
Jewish,F,לירז,3882
Christian,F,רשא,213
Jewish,M,אלימלך,2238
Jewish,M,עברי,1265
Christian,F,סמא,267
Christian,F,סואר,107
Christian,F,פאתן,148
Jewish,M,ניב,5775
Other,M,תום,249
Muslim,M,עודאי,3515
Jewish,M,אומרי,153
Christian,F,לורד,137
Jewish,M,נחשון,502
Jewish,F,לידור,869
Jewish,F,גלי,5345
Christian,F,נסרין,350
Christian,M,ראמי,771
Jewish,M,דני,3014
Jewish,F,ליזי,373
Druze,M,ח'אלד,169
Jewish,M,שמריהו,299
Muslim,F,עאטף,748
Jewish,F,גפן,4722
Jewish,M,מוריס,572
Jewish,F,מירית,1633
Christian,F,מרווה,128
Muslim,F,פאוזיה,642
Muslim,M,סביח,166
Jewish,M,פיני,238
Muslim,M,חלמי,282
Muslim,F,ג'זל,493
Muslim,F,ארג'ואן,157
Muslim,F,ניהאד,172
Muslim,F,חוריה,455
Other,M,רפאל,345
Muslim,F,נעמאת,122
Muslim,M,ג'וואד,113
Druze,M,אדם,1233
Jewish,F,מאירה,1491
Jewish,F,בר,7807
Jewish,M,עמיהוד,112
Jewish,F,שאשא,128
Druze,M,איוב,107
Muslim,F,סוהר,146
Christian,F,בדיעה,136
Jewish,M,תאי,175
Jewish,F,נירה,1666
Muslim,M,זאהר,539
Muslim,F,תהאני,932
Muslim,F,גומאנה,362
Muslim,F,סלין,290
Jewish,M,אודי,1107
Jewish,M,ניתאי,7073
Jewish,F,מליא,105
Christian,M,אשרף,163
Muslim,F,אעתדאל,333
Christian,F,סוהילה,178
Muslim,F,הדיל,3763
Jewish,M,יניב,13127
Jewish,M,מיאל,170
Muslim,M,מילאד,178
Muslim,F,סהיר,126
Christian,F,אילין,186
Muslim,F,עאיישה,215
Muslim,F,בסמלה,382
Muslim,F,נהיל,310
Jewish,F,רנית,247
Muslim,M,מועתסם,1224
Christian,F,סוהיר,179
Muslim,M,ניהאד,151
Christian,F,ג'ורג'ית,177
Jewish,F,פייגי,428
Muslim,M,פאדל,151
Jewish,F,כוכב,155
Other,M,דניס,501
Jewish,F,אופל,1072
Christian,M,מייקל,192
Jewish,M,מתי,422
Jewish,F,גתית,172
Jewish,F,לטם,203
Muslim,M,חסן,8091
Jewish,F,אתל,113
Muslim,F,למא,2146
Other,F,ורוניקה,250
Jewish,M,אלעזר,6514
Jewish,M,גלי,278
Jewish,F,אורפז,737
