sector,sex,name,total
Jewish,F,רייזל,1201
Jewish,F,איטה,1182
Jewish,F,ליב,1172
Jewish,F,חלי,1163
Jewish,F,ליז,1155
Jewish,F,תרצה,1139
Jewish,F,עדה,1135
Jewish,F,בילא,1129
Jewish,F,ניב,1121
Jewish,F,מנוחה,1117
Jewish,F,דיאנה,1112
Jewish,F,רנה,1108
Jewish,F,פז,1095
Jewish,F,דור,1092
Jewish,F,אופירה,1087
Jewish,F,תום,1084
Jewish,F,ליעד,1074
Jewish,F,אופל,1072
Jewish,F,זואי,1066
Jewish,F,בלהה,1065
Jewish,F,ישראלה,1062
Jewish,F,ליאה,1059
Jewish,F,דורון,1052
Jewish,F,מינה,1043
Jewish,F,ליזה,1042
Jewish,F,יוטא,1041
Jewish,F,אמיליה,1038
Jewish,F,גבריאלה,1025
Jewish,F,פערל,1025
Jewish,F,אורן,1019
Jewish,F,תהלה,1017
Jewish,F,מילה,1013
Jewish,F,מילי,1002
Jewish,F,רביד,999
Jewish,F,שימרית,992
Jewish,F,אושרה,982
Jewish,F,לייה,966
Jewish,F,איימי,964
Jewish,F,אסתי,949
Jewish,F,אמי,925
Jewish,F,ויקי,910
Jewish,F,אליענה,907
Jewish,F,פריאל,902
Jewish,F,טופז,900
Jewish,F,עדית,889
Jewish,F,עדיה,883
Jewish,F,דרורה,879
Jewish,F,לידור,869
Jewish,F,קרני,867
Jewish,F,בתאל,835
Jewish,F,תבל,832
Jewish,F,גילת,816
Jewish,F,ריף,815
Jewish,F,ציפי,811
Jewish,F,פסיה,809
Jewish,F,פני,792
Jewish,F,גוני,789
Jewish,F,אלכס,789
Jewish,F,סימונה,782
Jewish,F,תחיה,777
Jewish,F,ורדית,773
Jewish,F,שולה,770
Jewish,F,שנהב,760
Jewish,F,סופי,754
Jewish,F,מרי,744
Jewish,F,חושן,744
Jewish,F,תומר,737
Jewish,F,אורפז,737
Jewish,F,חרות,728
Jewish,F,קורין,724
Jewish,F,נאיה,724
Jewish,F,חנית,720
Jewish,F,חביבה,718
Jewish,F,בטי,715
Jewish,F,אליזבט,715
Jewish,F,עידן,715
Jewish,F,קטי,714
Jewish,F,פרומה,694
Jewish,F,פלג,693
Jewish,F,איב,687
Jewish,F,רקפת,686
Jewish,F,רוזה,684
Jewish,F,הלה,666
Jewish,F,מרסל,664
Jewish,F,בינה,659
Jewish,F,פרח,659
Jewish,F,אלומה,659
Jewish,F,פריידא,657
Jewish,F,חבצלת,644
Jewish,F,סוזי,643
Jewish,F,נלי,637
Jewish,F,חמדה,627
Jewish,F,"איילת
השחר",627
Jewish,F,יערית,621
Jewish,F,קסם,620
Jewish,F,כליל,620
Jewish,F,דרור,618
Jewish,F,עטרת,613
Jewish,F,עתליה,610
Jewish,F,טויבא,610
Jewish,F,מייה,608
Jewish,F,מירל,607
Jewish,F,אלינה,605
Jewish,F,ליפז,596
Jewish,F,קשת,595
Jewish,F,הלן,593
Jewish,F,אלכסנדרה,589
Jewish,F,איידל,589
Jewish,F,נסיה,584
Jewish,F,חמוטל,580
Jewish,F,יוספה,576
Jewish,F,אליסה,576
Jewish,F,אמלי,576
Jewish,F,אמירה,573
Jewish,F,דר,572
Jewish,F,רום,564
Jewish,F,גיטה,562
Jewish,F,מנור,559
Jewish,F,אשרת,553
Jewish,F,טהר,545
Jewish,F,שיה,538
Jewish,F,חסיה,537
Jewish,F,צופית,530
Jewish,F,אלינוי,528
Jewish,F,מוריאל,523
Jewish,F,קלרה,520
Jewish,F,מינדל,517
Jewish,F,שביט,515
Jewish,F,הענא,513
Jewish,F,אראלה,512
Jewish,F,לינדה,511
Jewish,F,גיטי,511
Jewish,F,ארייה,510
Jewish,F,זוהרה,507
Jewish,F,ניבה,505
Jewish,F,שלהבת,502
Jewish,F,סוניה,501
Jewish,F,סילביה,500
Jewish,F,ליר,500
Jewish,F,תלמה,499
Jewish,F,שייה,497
Jewish,F,מיטב,495
Jewish,F,דני,494
Jewish,F,סוזן,486
Jewish,F,סימי,479
Jewish,F,תגל,479
Jewish,F,דולב,477
Jewish,F,גיא,473
Jewish,F,נתלי,472
Jewish,F,פאר,465
Jewish,F,אלטע,462
Jewish,F,תכלת,459
Jewish,F,נריה,459
Jewish,F,נעומי,458
Jewish,F,פאני,455
Jewish,F,מילכה,451
Jewish,F,סימא,451
Jewish,F,צירל,448
Jewish,F,חניתה,447
Jewish,F,זמירה,443
Jewish,F,שטערנא,443
Jewish,F,יעלי,442
Jewish,F,ראשית,439
Jewish,F,אמור,437
Jewish,F,כרם,436
Jewish,F,ארנה,435
Jewish,F,ארין,433
Jewish,F,אייר,432
Jewish,F,רוזי,431
Jewish,F,כרמי,431
Jewish,F,נתנאלה,428
Jewish,F,פייגי,428
Jewish,F,שילי,427
Jewish,F,בארי,427
Jewish,F,מושקא,424
Jewish,F,אידה,423
Jewish,F,פראדל,423
Jewish,F,לידר,423
Jewish,F,כלנית,419
Jewish,F,סנדרה,414
Jewish,F,דקל,414
Jewish,F,ליליאן,413
Jewish,F,לונה,410
Jewish,F,הראל,409
Jewish,F,מגי,408
Jewish,F,לורין,408
Jewish,F,זיסל,405
Jewish,F,יונת,404
Jewish,F,שושי,403
Jewish,F,ליאנה,403
Jewish,F,ניר,400
Jewish,F,רווית,399
Jewish,F,טלאור,398
Jewish,F,מיילי,398
Jewish,F,ערבה,396
Jewish,F,רמה,389
Jewish,F,ענאל,389
Jewish,F,שילה,384
Jewish,F,דוריה,383
Jewish,F,מיי,378
Jewish,F,עדיאל,377
Jewish,F,שלו,377
Jewish,F,גיתית,376
Jewish,F,פרחיה,375
Jewish,F,רביטל,373
Jewish,F,ליזי,373
Jewish,F,לידיה,369
Jewish,F,בילה,368
Jewish,F,בשמת,362
Jewish,F,אדית,362
Jewish,F,אילי,362
Jewish,F,מטר,359
Jewish,F,ליאב,357
Jewish,F,בל,357
Jewish,F,טוני,355
Jewish,F,אוולין,354
Jewish,F,רלי,353
Jewish,F,ניקה,347
Jewish,F,פרומט,344
Jewish,F,ליגל,343
Jewish,F,שירית,342
Jewish,F,תמה,342
Jewish,F,אליאנה,340
Jewish,F,סטפני,338
Jewish,F,טובי,336
Jewish,F,קארן,336
Jewish,F,הילית,336
